event_name,price,description
Klose to My Heart - Sonu Nigam Live in Concert,₹ 1000,"Sonu Nigam Klose to my Heart -The biggest Bollywood musical ever!Sonu Nigam - The Super Star, with his mesmerizing voice and enchanting lyrics, now live in concert with over 30 musicians.Experience 180 minutes of musical hypnosis. Sonu sings his favorite songs, from over the decade. Klose to my heart concerts have been enthralling people all over the world, and now Sonu Nigam brings it to India for the first time.It's a musical extravaganza that you just can't miss. The orchestra, with its full complement of string, percussion, brass and woodwind instruments, will perform in perfect unison with the versatile voice of the music maestro, SONU NIGAM…..With a magical and mesmerizing voice, Sonu Nigam is the epitome of an accomplished entertainer.Visit the three hour ""KLOSE TO MY HEART"" show by Sonu Nigam."
Rawmedy with Kenny Sebastian,₹ 600,"It’s a stand up comedy event in association with Round table India organized by Kolkata Spartans round table 280. Kenneth Sebastian, a famous stand up artist from Mumbai will tickle your funny bones with a breathtaking act and musical performance.25 year old Kenneth Sebastian is a Musician, Filmmaker and a Stand Up Comedian.Has performed in over 1000 shows in the last four years.He hosted & wrote an entire season of a Sketch Comedy Show ” The Living Room” which aired on Comedy Central India at primetimeSLOT in December 2014. Featuring established comedians such as Abish Mathew, Kanan Gill, Naveen Richard, Kaneez Surka & many more.He was featured as the number 1 young indian to watch out for in 2016 on Buzzfeed India. 1. Rights of admission reserved2. Lost or Damaged tickets will not be exchanged or compensated3. One ticket equals to one entry4. Seating on first come first serve basis5. Once exit no re-entry allowed6.No Eatables allowed inside the auditorium 7.Final Decision on any matter rests with the event organizers - KSRT 2808. Owning to unavoidable event cancelled show tickets will be refunded within 10 days."
Bandwood IV,₹ 100,News@BanglaBand presents Bandwood IVFeatured Artist:FakiraPrithibiPata R MoruddyanThe grooverz
Bollywood Night,₹ 1000,Bollywood Night
Chitrahaar,₹ 300,"Chitrahaar' is a Bollywood musical evening showcasing blockbuster hit songs of 60s, 70s, 80s and 90s. The show will feature some of the best and most remembered songs of the legendary singers of Bollywood.The event will feature a wide variety of evergreen hits ranging from melodious to mujra to foot-tapping numbers. Concept and lead singing - Samanvitha Sharma, who is an established, popular and celebrated singer in the cultural circuit of Bangalore.This exuberant musical evening will also showcase other noted singers of Bangalore Haris Karoth, Subrat Sahoo, Aniket Prabhu, Govind Kurnool and Rohini Prabhunandan. There will also be a full-fledged orchestra under the popular keyboardist Pradeep Patkar who hails from the Bollywood city of Amchi Mumbai.With a powerful blend of versatile music and artists, the event promises to be a real treat to the Bollywood music connoisseurs of Bangalore. This event will be held in aid of the 'Sri Ramachandra Grameena Vidya Vikasa Kendra Trust' which provides education to under-privileged children.'Chitrahaar' is a Bollywood musical evening showcasing blockbuster hit songs of 60s, 70s, 80s and 90s. The show will feature some of the best and most-remembered songs of the legendary singers of Bollywood.The event will feature a wide variety of evergreen hits ranging from melodious to mujra to foot-tapping numbers. Concept and lead singing - Samanvitha Sharma, who is an established, popular and celebrated singer in the cultural circuit of Bangalore.This exuberant musical evening will also showcase other noted singers of Bangalore Haris Karoth, Subrat Sahoo, Aniket Prabhu, Govind Kurnool and Rohini Prabhunandan. There will also be a full-fledged orchestra under the popular keyboardist Pradeep Patkar who hails from the Bollywood city of Amchi Mumbai.With a powerful blend of versatile music and artists, the event promises to be a real treat to the Bollywood music connoisseurs of Bangalore. This event will be held in aid of the 'Sri Ramachandra Grameena Vidya Vikasa Kendra Trust' which provides education to under-privileged children."
Panchajanya by Nandikar - Premiere Show,₹ 100,"Panchajanya, Nandikar's new musical, premiers! Please do join us as we embark on this new journey! Cast and Credit: Direction: Sohini Sengupta Drama, original score and co-direction: Parthapratim Deb Music design: Mayukh-Mainak Choreography: Debkumar Pal Sets: Debabrata Maity Lights: Sadhan Parui Styling and make-up: Md. Ali, Malay Das and Nripen Chakraborty Cast: Young actors of Nandikar and Swatilekha Sengupta, Rudraprasad Sengupta, Sohini Sengupta, Shambhu, Swajan Srijan, Sushanta and Parthapratim Deb Synopsis: The Kurukshetra War has just ended. Gandhari, after losing her hundred sons, is a much-grieved lady. She holds Krishna responsible for her misery. Radha asks Krishna why, despite being the most powerful person in India, Krishna cannot confide in anyone. Krishna tells his side of the story. As the story unfolds we see how Krishna, the young shepherd boy, is always trusted by people around him to be their savior. How every time it is Krishna who has to take a strong - and sometimes unpleasant - stand to ensure justice. How Krishna must sacrifice his personal life to free India from the hungry grip of Jarasandha and Kamsa in order to establish the rule of Dharma. How Krishna merely becomes an instrument of justice. How destiny takes over his life. But can Krishna, who has been the epitomic symbol of love, allow destiny to take away all that is tender in him? Can commitment to the State be greater than commitment to Humanity? How does a responsible man choose? Can a responsible man choose? Can war ever bring peace? Photographs and other info: http://facebook.com/nandikar"
CANAVAL 2016,,"YOSAKOI TEAM ""CANAVAL"" 2016年高知よさこい祭り"
HERBALIFE,,LOSE / GAIN WEIGHT & MAINTAIN A GOOD HEALTH. WITH GOOD NUTRITION AND WITHOUT SIDE EFFECTS. CALL FOR FREE BODY FAT ANALYSIS AND SAMPLING. more details contact : JITESH 7507106169
